TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL ,MARCA
,CLASSIC COMPACT S ROJO 5m CINTA 15kg,FLEXCCSR,FLEXI,UNIDAD,Si,4000498003534,CLASSIC COMPACT S ROJO 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,388.793100,UNIDAD,160.101453,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLASSIC COMPACT S ROSA 5m CINTA 15kg,FLEXCCSRS,FLEXI,UNIDAD,Si,4000498010228,CLASSIC COMPACT S ROSA 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,388.793100,UNIDAD,160.101453,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 2 BLANCO,FLEXC2B,FLEXI,UNIDAD,Si,,CLICK 2 BLANCO,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,234.482800,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 2 NEGRO,FLEXC2N,FLEXI,UNIDAD,Si,,CLICK 2 NEGRO,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,234.482800,UNIDAD,93.712000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 2 ROSA,FLEXC2R,FLEXI,UNIDAD,Si,,CLICK 2 ROSA,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,234.482800,UNIDAD,93.712000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 3 AZUL,FLEXC3A,FLEXI,UNIDAD,Si,,CLICK 3 AZUL,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,249.137900,UNIDAD,99.784000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 3 NEGRO,FLEXC3N,FLEXI,UNIDAD,Si,,CLICK 3 NEGRO,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,249.137900,UNIDAD,99.784000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,CLICK 3 ROJO,FLEXC3R,FLEXI,UNIDAD,Si,,CLICK 3 ROJO,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,249.137900,UNIDAD,99.784000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION M DARK BROWN ""Espresso""",FLEXCMDBE,FLEXI,UNIDAD,Si,,"COLLECTION M DARK BROWN ""Espresso""",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,185.344800,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION M LIGHT BROWN ""Latte Mazzhiat",FLEXCMLBL,FLEXI,UNIDAD,Si,,"COLLECTION M LIGHT BROWN ""Latte Mazzhiat",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,441.379300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION M MARRON ""Caramel Coffe""",FLEXCMC,FLEXI,UNIDAD,Si,,"COLLECTION M MARRON ""Caramel Coffe""",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,441.379300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION SMALL DARK BROWN ""Espresso""",FLEXCSDBES,FLEXI,UNIDAD,Si,,"COLLECTION SMALL DARK BROWN ""Espresso""",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,476.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION SMALL LIGHT BROWN ""Latte  M""",FLEXCSLBL,FLEXI,UNIDAD,Si,,"COLLECTION SMALL LIGHT BROWN ""Latte  M""",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,476.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,"COLLECTION SMALL MARRON ""Caramel Coffe""",FLEXCSMC,FLEXI,UNIDAD,Si,,"COLLECTION SMALL MARRON ""Caramel Coffe""",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,476.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC G ANTRA 5m CORDON 20kg,FLEXCBGAN,FLEXI,UNIDAD,Si,,COMFORT BASIC G ANTRA 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,598.275900,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC G AZUL 5m CORDON 20kg,FLEXCBGA,FLEXI,UNIDAD,Si,,COMFORT BASIC G AZUL 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,598.275900,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC G NEGRO 5m CORDON 20kg,FLEXCBGN,FLEXI,UNIDAD,Si,,COMFORT BASIC G NEGRO 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,598.275900,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC G ROJO 5m CORDON 20kg,FLEXCBGR,FLEXI,UNIDAD,Si,,COMFORT BASIC G ROJO 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,598.275900,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M ANTRA 5m CORDON 20kg,FLEXCBMAN,FLEXI,UNIDAD,Si,,COMFORT BASIC M ANTRA 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M AZUL 5m CORDON 20kg,FLEXCBMA,FLEXI,UNIDAD,Si,,COMFORT BASIC M AZUL 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M LILA 5m CORDON 20kg,FLEXCBML,FLEXI,UNIDAD,Si,,COMFORT BASIC M LILA 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M NEGRO 5m CORDON 20kg,FLEXCBMN,FLEXI,UNIDAD,Si,,COMFORT BASIC M NEGRO 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M ROJO 5m CORDON 20kg,FLEXCBMR,FLEXI,UNIDAD,Si,,COMFORT BASIC M ROJO 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC M ROSA 5m CORDON 20kg,FLEXCBMRS,FLEXI,UNIDAD,Si,,COMFORT BASIC M ROSA 5m CORDON 20kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,343.965500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S ANTRA 5m CORDON 12kg,FLEXCBSAN,FLEXI,UNIDAD,Si,,COMFORT BASIC S ANTRA 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S AZUL 5m CORDON 12kg,FLEXCBSA,FLEXI,UNIDAD,Si,,COMFORT BASIC S AZUL 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S LILA 5m CORDON 12kg,FLEXCBSL,FLEXI,UNIDAD,Si,,COMFORT BASIC S LILA 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S NEGRO 5m CORDON 12kg,FLEXCBSN,FLEXI,UNIDAD,Si,,COMFORT BASIC S NEGRO 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S ROJO 5m CORDON 12kg,FLEXCBSR,FLEXI,UNIDAD,Si,,COMFORT BASIC S ROJO 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT BASIC S ROSA 5m CORDON 12kg,FLEXCBSRS,FLEXI,UNIDAD,Si,,COMFORT BASIC S ROSA 5m CORDON 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,401.724100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT G ANTRAN 5m CINTA 60kg,FLEXCCGAN,FLEXI,UNIDAD,Si,,COMFORT COMPACT G ANTRAN 5m CINTA 60kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,605.172400,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT G AZUL 5m CINTA 60kg,FLEXCCGAZ,FLEXI,UNIDAD,Si,,COMFORT COMPACT G AZUL 5m CINTA 60kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,605.172400,UNIDAD,242.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT G NEGRO 5m CINTA 60kg,FLEXCOMCGN,FLEXI,UNIDAD,Si,,COMFORT COMPACT G NEGRO 5m CINTA 60kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,605.172400,UNIDAD,287.880000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT G ROJO 5m CINTA 60kg,FLEXCOMCGR,FLEXI,UNIDAD,Si,,COMFORT COMPACT G ROJO 5m CINTA 60kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,605.172400,UNIDAD,242.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M ANTRANCITA 5mCINTA 25k,FLEXCCMAN,FLEXI,UNIDAD,Si,,COMFORT COMPACT M ANTRANCITA 5mCINTA 25k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M AZUL 5m CINTA 25kg,FLEXCCMA,FLEXI,UNIDAD,Si,,COMFORT COMPACT M AZUL 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,203.072000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M LILA 5m CINTA 25kg,FLEXCCMLI,FLEXI,UNIDAD,Si,,COMFORT COMPACT M LILA 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M NEGRO 5m CINTA 25kg,FLEXCCMNG,FLEXI,UNIDAD,Si,,COMFORT COMPACT M NEGRO 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M ROJO 5m CINTA 25kg,FLEXCCMRO,FLEXI,UNIDAD,Si,,COMFORT COMPACT M ROJO 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,203.072000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT M ROSA 5m CINTA 25kg,FLEXCOMCMRS,FLEXI,UNIDAD,Si,,COMFORT COMPACT M ROSA 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,463.793100,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT MINI AZUL 3m CINTA 12kg,FLEXCCXSA,FLEXI,UNIDAD,Si,,COMFORT COMPACT MINI AZUL 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,303.448300,UNIDAD,96.456000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT MINI LILA 3m CINTA 12kg,FLEXCCXSL,FLEXI,UNIDAD,Si,,COMFORT COMPACT MINI LILA 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,303.448300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT MINI NEGRO 3m CINTA 12kg,FLEXCCXSN,FLEXI,UNIDAD,Si,,COMFORT COMPACT MINI NEGRO 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,303.448300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT MINI ROJO 3m CINTA 12kg,FLEXCCXSR,FLEXI,UNIDAD,Si,,COMFORT COMPACT MINI ROJO 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,303.448300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT MINI ROSA 3m CINTA 12kg,FLEXCCXSRS,FLEXI,UNIDAD,Si,,COMFORT COMPACT MINI ROSA 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,303.448300,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S ANTRANCITA 5mCINTA 15k,FLEXCCSAN,FLEXI,UNIDAD,Si,,COMFORT COMPACT S ANTRANCITA 5mCINTA 15k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S AZUL 5m CINTA 15kg,FLEXCCSAZ,FLEXI,UNIDAD,Si,,COMFORT COMPACT S AZUL 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S LILA 5m CINTA 15kg,FLEXCCSM,FLEXI,UNIDAD,Si,4000498007372,COMFORT COMPACT S LILA 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,170.125208,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S NEGRO 5m CINTA 15kg,FLEXCOMCSN,FLEXI,UNIDAD,Si,4000498007341,COMFORT COMPACT S NEGRO 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,162.336000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S ROJO 5m CINTA 15kg,FLEXCCSRO,FLEXI,UNIDAD,Si,4000498007310,COMFORT COMPACT S ROJO 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,162.336000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,COMFORT COMPACT S ROSA 5m CINTA 15kg,FLEXCOMCSRS,FLEXI,UNIDAD,Si,4000498010327,COMFORT COMPACT S ROSA 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,406.034500,UNIDAD,162.336000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION GENTLEMEN CARBON 5m CINTA 25kg,FLEXFGC,FLEXI,UNIDAD,Si,,FASHION GENTLEMEN CARBON 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,942.241400,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION GENTLEMEN METAL M 5m CINTA 25kg,FLEXFGM,FLEXI,UNIDAD,Si,,FASHION GENTLEMEN METAL M 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,942.241400,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION GENTLEMEN PROFILE M 5m CINTA 25k,FLEXFGP,FLEXI,UNIDAD,Si,,FASHION GENTLEMEN PROFILE M 5m CINTA 25k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,942.241400,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION GENTLEMEN SNAKE M 5m CINTA 25kg,FLEXFGS,FLEXI,UNIDAD,Si,,FASHION GENTLEMEN SNAKE M 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,942.241400,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M BLANCO ZEBRA 3m CINTA,FLEXFLNB,FLEXI,UNIDAD,Si,,FASHION LADIES M BLANCO ZEBRA 3m CINTA,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M FLORES 3m CINTA 25kg,FLEXFLMF,FLEXI,UNIDAD,Si,,FASHION LADIES M FLORES 3m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M LEOPARDO 5m CINTA 25kg,FLEXFLML,FLEXI,UNIDAD,Si,,FASHION LADIES M LEOPARDO 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M PINK 5m CINTA 25kg,FLEXFLMPI,FLEXI,UNIDAD,Si,,FASHION LADIES M PINK 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M PINK ZEBRA 5m CINTA 25k,FLEXFLMZ,FLEXI,UNIDAD,Si,,FASHION LADIES M PINK ZEBRA 5m CINTA 25k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M STARS 5m CINTA 25kg,FLEXFLMSTA,FLEXI,UNIDAD,Si,,FASHION LADIES M STARS 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES M WHITE DOTS 5m CINTA 25k,FLEXFLMW,FLEXI,UNIDAD,Si,,FASHION LADIES M WHITE DOTS 5m CINTA 25k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S BLANCO ZEBRA 3mCINTA,FLEXFSBZ,FLEXI,UNIDAD,Si,,FASHION LADIES S BLANCO ZEBRA 3mCINTA,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S ESTRELLA 3m CINTA 15kg,FLEXFSE,FLEXI,UNIDAD,Si,,FASHION LADIES S ESTRELLA 3m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S FLORES 3m CINTA 12kg,FLEXFSF,FLEXI,UNIDAD,Si,,FASHION LADIES S FLORES 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S LEOPARDO 3m CINTA 12kg,FLEXFSLE,FLEXI,UNIDAD,Si,,FASHION LADIES S LEOPARDO 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S PAISLEY 3m CINTA 12kg,FLEXFSPS,FLEXI,UNIDAD,Si,,FASHION LADIES S PAISLEY 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S PINK ZEBRA 3m CINTA 12k,FLEXFSP,FLEXI,UNIDAD,Si,,FASHION LADIES S PINK ZEBRA 3m CINTA 12k,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S ROSA 3m CINTA 12kg,FLEXFSRS,FLEXI,UNIDAD,Si,,FASHION LADIES S ROSA 3m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S STRIPES 5m CINTA 12kg,FLEXFSS,FLEXI,UNIDAD,Si,,FASHION LADIES S STRIPES 5m CINTA 12kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LADIES S WHITE 5m CINTA 15kg,FLEXFSW,FLEXI,UNIDAD,Si,,FASHION LADIES S WHITE 5m CINTA 15kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,827.586200,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
,FASHION LAIDES M PAISLEY 5m CINTA 25kg,FLEXFLMP,FLEXI,UNIDAD,Si,,FASHION LAIDES M PAISLEY 5m CINTA 25kg,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,7,,0.05,,,,962.931000,UNIDAD,0.000000,,,16,,,FLEXI,,,ACCESORIOS,SIN CONTROL,FLEXI
