Sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta?,Clave de producto SAT,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Precio promedio de compra,¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave sat,Unidad de sat,1,2,3,4,5
,"Fuente de alimentación para tira extraplana conmutada, de led, 80 Watts, entrada 110-277V ca salida 24V cc, protección IP20",CP24100WHPFMV,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana conmutada, de led, 80 Watts, entrada 110-277V ca salida 24V cc, protección IP20",,,,lo compramos,$708.25,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana conmutada, de led, 120 Watts, entrada 110-277V ca salida 24V cc, protección IP20",CP24150WHPFMV,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana conmutada, de led, 120 Watts, entrada 110-277V ca salida 24V cc, protección IP20",,,,lo compramos,$882.74,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana conmutada, de led, 160 Watts, entrada 110-277V ca salida 24V cc, protección IP20",CP24200WHPFMV,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana conmutada, de led, 160 Watts, entrada 110-277V ca salida 24V cc, protección IP20",,,,lo compramos,"$1,028.77",iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana conmutada, de led, 288 Watts, entrada 110-220V ca salida 24V cc, protección IP20",CP360WE,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana conmutada, de led, 288 Watts, entrada 110-220V ca salida 24V cc, protección IP20",,,,lo compramos,$864.85,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación conmutada para tira extraplana, de led, 48 Watts, entrada 110-220V ca salida 24V cc, protección IP20",CP60W,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación conmutada para tira extraplana, de led, 48 Watts, entrada 110-220V ca salida 24V cc, protección IP20",,,,lo compramos,$185.84,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación conmutada para tira extraplana, de led, 48 Watts, entrada 110-220V ca salida 24V cc, protección IP20",CP60W.,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación conmutada para tira extraplana, de led, 48 Watts, entrada 110-220V ca salida 24V cc, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana, de led, 19 Watts, entrada 110-240V ca salida 12V cc, protección IP20",CPA1202E,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana, de led, 19 Watts, entrada 110-240V ca salida 12V cc, protección IP20",,,,lo compramos,$82.57,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana, de led, 28 Watts, entrada 100-240V ca salida 24V cc, protección IP20",CPA241.5E,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana, de led, 28 Watts, entrada 100-240V ca salida 24V cc, protección IP20",,,,lo compramos,$151.34,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 15 a 24 x 1 Watts, entrada 110-130V ca salida 45-84V cc, 300 ma, protección IP20",DD15A244584300E,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 15 a 24 x 1 Watts, entrada 110-130V ca salida 45-84V cc, 300 ma, protección IP20",,,,lo compramos,$102.88,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 12 Watts, entrada 90-140V ca salida 20-40V cc, 300 ma, protección IP20.",DD204030012W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 12 Watts, entrada 90-140V ca salida 20-40V cc, 300 ma, protección IP20.",,,,lo compramos,$288.73,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 20 Watts, entrada 90-140V ca salida 20-40V cc, 600 ma, protección IP20.",DD204060020W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 20 Watts, entrada 90-140V ca salida 20-40V cc, 600 ma, protección IP20.",,,,lo compramos,$311.97,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 10 Watts, entrada 100-130V ca salida 25-42V cc, 300 ma,protección IP20.",DD254230010W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 10 Watts, entrada 100-130V ca salida 25-42V cc, 300 ma,protección IP20.",,,,lo compramos,$321.90,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 1 x 3 Watts, entrada 110-130V ca salida 2-4V cc, 600 ma, protección IP20",DD3W24600E,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 1 x 3 Watts, entrada 110-130V ca salida 2-4V cc, 600 ma, protección IP20",,,,lo compramos,$51.77,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 3 x 1 Watt, entrada 110-130V ca salida 9-11V cc, 300 ma, protección IP20",DD3W911300E,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 3 x 1 Watt, entrada 110-130V ca salida 9-11V cc, 300 ma, protección IP20",,,,lo compramos,$41.15,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 22 Watts, entrada 90-140V ca salida 40-60V cc, 250 ma, protección IP20",DD406025022W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 22 Watts, entrada 90-140V ca salida 40-60V cc, 250 ma, protección IP20",,,,lo compramos,$311.97,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 35 Watts, entrada 90-140V ca salida 40-60V cc, 500 ma, protección IP20",DD406050035W,iLumileds,,Pza,Si,,,"Driver para luminarios, de led, atenuado por dimmer triac, 35 Watts, entrada 90-140V ca salida 40-60V cc, 500 ma, protección IP20",,,,lo compramos,$606.70,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 18 Watts, entrada 90-140V ca salida 40-70V cc, 300 ma, protección IP20.",DD407030018W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 18 Watts, entrada 90-140V ca salida 40-70V cc, 300 ma, protección IP20.",,,,lo compramos,$323.93,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 5 a 18 x 1watts, entrada 85-265V ca salida 15-62V cc, 300 ma, protección IP20",DD5A18W1562300E,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 5 a 18 x 1watts, entrada 85-265V ca salida 15-62V cc, 300 ma, protección IP20",,,,lo compramos,$172.33,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 3 Watts, entrada 90-140V ca salida 6-12V cc, 300 ma, protección IP20.",DD6123003W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 3 Watts, entrada 90-140V ca salida 6-12V cc, 300 ma, protección IP20.",,,,lo compramos,$288.73,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 7 Watts, entrada 90-140V ca salida 9-24V cc, 300 ma, protección IP20.",DD9243007W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 7 Watts, entrada 90-140V ca salida 9-24V cc, 300 ma, protección IP20.",,,,lo compramos,$252.25,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminarios, de led, atenuado por dimmer triac, 15 Watts, entrada 90-140V ca salida 9-26V cc, 600 ma, protección IP20.",DD92660015W,iLumileds,,Pza,Si,39121006,,"Driver para luminarios, de led, atenuado por dimmer triac, 15 Watts, entrada 90-140V ca salida 9-26V cc, 600 ma, protección IP20.",,,,lo compramos,$328.54,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminario de led, 11 Watts máximo, entrada 100-240V ca salida 16-32V cc, 350mA protección IP65, alto factor de potencia y baja THD",DHPFMV11W350,iLumileds,,Pza,Si,39121006,,"Driver para luminario de led, 11 Watts máximo, entrada 100-240V ca salida 16-32V cc, 350mA protección IP65, alto factor de potencia y baja THD",,,,lo compramos,$209.08,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminario de led, 3 Watts máximo, entrada 100-240V ca salida 3-12V cc, 350mA protección IP65, alto factor de potencia y baja THD",DHPFMV3W350,iLumileds,,Pza,Si,39121006,,"Driver para luminario de led, 3 Watts máximo, entrada 100-240V ca salida 3-12V cc, 350mA protección IP65, alto factor de potencia y baja THD",,,,lo compramos,$142.27,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminario de led, 3 Watts máximo, entrada 100-240V ca salida 3-4.5V cc, 700mA protección IP65, alto factor de potencia y baja THD",DHPFMV3W700,iLumileds,,Pza,Si,39121006,,"Driver para luminario de led, 3 Watts máximo, entrada 100-240V ca salida 3-4.5V cc, 700mA protección IP65, alto factor de potencia y baja THD",,,,lo compramos,$142.27,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Driver para luminario de led, 6 Watts máximo, entrada 100-240V ca salida 10-21V cc, 350mA protección IP65, alto factor de potencia y baja THD",DHPFMV6W350,iLumileds,,Pza,Si,39121006,,"Driver para luminario de led, 6 Watts máximo, entrada 100-240V ca salida 10-21V cc, 350mA protección IP65, alto factor de potencia y baja THD",,,,lo compramos,$169.27,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de sobreponer o suspender, aluminio acabado natural, protección IP20",DXA19,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de sobreponer o suspender, aluminio acabado natural, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, sin ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales, kit de 2 grapas, de sobreponer o suspender, protección IP20",DXA19KIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, sin ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales, kit de 2 grapas, de sobreponer o suspender, protección IP20",,,,lo compramos,$417.44,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",DXAP01,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, sin ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",DXAP01KIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, sin ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",,,,lo compramos,$210.31,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado negro, protección IP20",DXAP01N,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, sin ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado negro, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, sin ceja que incluye, perfil rectangular de aluminio acabado negro de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",DXAP01NKIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, sin ceja que incluye, perfil rectangular de aluminio acabado negro de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",,,,lo compramos,$217.35,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",DXAP02,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",DXAP02KIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",,,,lo compramos,$210.31,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de sobreponer, aluminio acabado negro, protección IP20",DXAP02N,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de sobreponer, aluminio acabado negro, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio acabado negro de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",DXAP02NKIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio acabado negro de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",,,,lo compramos,$217.35,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",DXAP06,iLumileds,,Pza,Si,30102306,,"Perfil para tira extraplana de led, con ceja, rectangular 2 m, de empotrar o sobreponer, aluminio acabado natural, protección IP20",,,,lo compramos,$0.00,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",DXAP06KIT.,iLumileds,,Pza,Si,39101800,,"Kit de perfil para tira extraplana de led, con ceja, que incluye, perfil rectangular de aluminio de 2 m, mica difusa de 2 m, kit de 2 tapas laterales y kit de 2 grapas, de empotrar o sobreponer, protección IP20",,,,lo compramos,$210.31,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Terminación para tira, de led AC2835 o AC5050, de PVC",ECAPACTL28355050,iLumileds,,Pza,Si,24122004,,"Terminación para tira, de led AC2835 o AC5050, de PVC",,,,lo compramos,$2.37,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Terminación para tira led 2835 wall washer, de silicón",ENCAP2835,iLumileds,,Pza,Si,24122004,,"Terminación para tira led 2835 wall washer, de silicón",,,,lo compramos,$10.72,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de 2 tapas laterales, 1 protector de cable negro, para perfil de aluminio DXA19",ENCAPDXA19,iLumileds,,Pza,Si,24122004,,"Kit de 2 tapas laterales, 1 protector de cable negro, para perfil de aluminio DXA19",,,,lo compramos,$15.99,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Terminación con agujero de 0.8cm para tira led 2835 wall washer, de silicón",ENCAPHOLE2835,iLumileds,,Pza,Si,24122004,,"Terminación con agujero de 0.8cm para tira led 2835 wall washer, de silicón",,,,lo compramos,$8.58,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para perfil de aluminio PA1612 de plástico,ENDCAP1612,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para perfil de aluminio PA1612 de plástico,,,,lo compramos,$9.29,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales negras para perfil de aluminio PA1612N de plástico,ENDCAP1612N,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales negras para perfil de aluminio PA1612N de plástico,,,,lo compramos,$9.29,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para riel ILUTMAG2624SS,ENDCAP2624SS,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para riel ILUTMAG2624SS,,,,lo compramos,$12.87,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para riel ILUTMAG2651SS,ENDCAP2651SS,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para riel ILUTMAG2651SS,,,,lo compramos,$12.87,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas para riel ILUTMAG6246EMP,ENDCAP6246EMP,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas para riel ILUTMAG6246EMP,,,,lo compramos,$12.87,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas para riel ILUTMAG6246ETRIM,ENDCAP6246ETRIM,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas para riel ILUTMAG6246ETRIM,,,,lo compramos,$12.87,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para perfil de aluminio DXAP01 de plástico,ENDCAPDXAP01.,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para perfil de aluminio DXAP01 de plástico,,,,lo compramos,$12.43,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de 2 tapas laterales negras para perfil de aluminio DXAP01N, de plástico",ENDCAPDXAP01N,iLumileds,,Pza,Si,24122004,,"Kit de 2 tapas laterales negras para perfil de aluminio DXAP01N, de plástico",,,,lo compramos,$11.44,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para perfil de aluminio DXAP02 de plástico,ENDCAPDXAP02.,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para perfil de aluminio DXAP02 de plástico,,,,lo compramos,$15.99,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de 2 tapas laterales negras para perfil de aluminio DXAP02N, de plástico",ENDCAPDXAP02N,iLumileds,,Pza,Si,24122004,,"Kit de 2 tapas laterales negras para perfil de aluminio DXAP02N, de plástico",,,,lo compramos,$15.99,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 tapas laterales para perfil de aluminio DXAP06 de plástico,ENDCAPDXAP06.,iLumileds,,Pza,Si,24122004,,Kit de 2 tapas laterales para perfil de aluminio DXAP06 de plástico,,,,lo compramos,$15.99,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Tapa final acabado negro para micro track magnético modelos MICROTRK1PCB30CM y MICROTRK1PCB90CM. Incluye conector para fuente de poder.,ENDCAPMICROTB,iLumileds,,Pza,Si,24122004,,Tapa final acabado negro para micro track magnético modelos MICROTRK1PCB30CM y MICROTRK1PCB90CM. Incluye conector para fuente de poder.,,,,lo compramos,$70.07,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana o luminarios, de led, 80 Watts, entrada 100-240V ca salida 24V cc, protección IP67",FP100W24EXT,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana o luminarios, de led, 80 Watts, entrada 100-240V ca salida 24V cc, protección IP67",,,,lo compramos,$796.56,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana o luminarios, de led, 160 Watts, entrada 100-240V ca salida 24V cc, protección IP67",FP200W24EXT,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana o luminarios, de led, 160 Watts, entrada 100-240V ca salida 24V cc, protección IP67",,,,lo compramos,"$1,219.94",iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana o luminarios, de led, 24 Watts, entrada 90-264V ca salida 12V cc, protección IP67",FP30W12EXT,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana o luminarios, de led, 24 Watts, entrada 90-264V ca salida 12V cc, protección IP67",,,,lo compramos,$263.52,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Fuente de alimentación para tira extraplana o luminarios, de led, 24 Watts, entrada 90-264V ca salida 24V cc, protección IP67",FP30W24EXT,iLumileds,,Pza,Si,39121006,,"Fuente de alimentación para tira extraplana o luminarios, de led, 24 Watts, entrada 90-264V ca salida 24V cc, protección IP67",,,,lo compramos,$263.52,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Lámpara base G4, de led, blanco cálido, 1.5 Watts, óptica 280°, aluminio cubierta acrílico lechosa, 110-127V ca, protección IP20",G41.5WWWCLE,iLumileds,,Pza,Si,39101600,,"Lámpara base G4, de led, blanco cálido, 1.5 Watts, óptica 280°, aluminio cubierta acrílico lechosa, 110-127V ca, protección IP20",,,,lo compramos,$35.18,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Lámpara base G9, de led, blanco, 2.5 Watts, óptica 360°, aluminio cubierta acrílico transparente, 110-127V ca, protección IP20",G92.5WWCE,iLumileds,,Pza,Si,39101600,,"Lámpara base G9, de led, blanco, 2.5 Watts, óptica 360°, aluminio cubierta acrílico transparente, 110-127V ca, protección IP20",,,,lo compramos,$35.03,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Lámpara base G9, de led, blanco cálido, 2.5 Watts, óptica 360°, aluminio cubierta acrílico transparente, 110-127V ca, protección IP20",G92.5WWWCE,iLumileds,,Pza,Si,39101600,,"Lámpara base G9, de led, blanco cálido, 2.5 Watts, óptica 360°, aluminio cubierta acrílico transparente, 110-127V ca, protección IP20",,,,lo compramos,$35.03,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Lámpara tipo cacahuate base G9, de led, atenuable blanco cálido, 5 Watts, óptica 270°, aluminio cubierta resina, 110-127V ca, protección IP20",G95WDIMWWC,iLumileds,,Pza,Si,39101600,,"Lámpara tipo cacahuate base G9, de led, atenuable blanco cálido, 5 Watts, óptica 270°, aluminio cubierta resina, 110-127V ca, protección IP20",,,,lo compramos,$94.25,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio PA1616 y PA1616B,GRAPA1616,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio PA1616 y PA1616B,,,,lo compramos,$9.96,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas negras de sujeción para perfil de aluminio PA1616N,GRAPA1616N,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas negras de sujeción para perfil de aluminio PA1616N,,,,lo compramos,$9.29,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA1722UGR y ILUPA1722NUGR,GRAPA1722,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA1722UGR y ILUPA1722NUGR,,,,lo compramos,$10.72,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio PA1806,GRAPA1806,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio PA1806,,,,lo compramos,$12.31,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción negras para perfil de aluminio PA1806N,GRAPA1806N,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción negras para perfil de aluminio PA1806N,,,,lo compramos,$19.36,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio PA1911P,GRAPA1911P,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio PA1911P,,,,lo compramos,$9.31,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio PA2213,GRAPA2213,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio PA2213,,,,lo compramos,$7.16,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio PA3535,GRAPA3535,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio PA3535,,,,lo compramos,$23.23,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA3551UGR y lLUPA3551NUGR,GRAPA3551,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA3551UGR y lLUPA3551NUGR,,,,lo compramos,$26.55,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción de metal para perfil de aluminio ILUPA5175N,GRAPA5175,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción de metal para perfil de aluminio ILUPA5175N,,,,lo compramos,$19.91,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA525,GRAPA525,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio ILUPA525,,,,lo compramos,$8.57,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio ILUDXA1812,GRAPADXA1812,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio ILUDXA1812,,,,lo compramos,$9.62,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio DXA19,GRAPADXA19,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio DXA19,,,,lo compramos,$15.40,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio ILUDXA2512,GRAPADXA2512,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio ILUDXA2512,,,,lo compramos,$9.62,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,Kit de 2 grapas de sujeción para perfil de aluminio DXAP01,GRAPADXAP01,iLumileds,,Pza,Si,31162313,,Kit de 2 grapas de sujeción para perfil de aluminio DXAP01,,,,lo compramos,$9.70,iLumileds,,No,,,,Almacenable,,,,,,,,,,
,"Kit de 2 grapas negras de sujeción para perfil de aluminio DXAP01N, de metal",GRAPADXAP01N,iLumileds,,Pza,Si,31162313,,"Kit de 2 grapas negras de sujeción para perfil de aluminio DXAP01N, de metal",,,,lo compramos,$10.01,iLumileds,,No,,,,Almacenable,,,,,,,,,,
