TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL 
,"FELINE KITTEN ORIGINAL 1.6 KG
",HILFELKIT16,HILLS,Unidades,Si,52742712307,"FELINE KITTEN ORIGINAL 1.6 KG
",0,0,0,lo compramos,Sin seguimiento,Si,0,0,0,Almacenable,10121800,H87,0,,,0,,,517.2414,Unidades,394.442075,,,16,16,,,,,,GRUPO 3
,"FELINE KITTEN INDOOR 1.6 KG
",HILFELKITIND16,HILLS,Unidades,Si,52742713106,"FELINE KITTEN INDOOR 1.6 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,534.4828,Unidades,365.9473,,,16,16,,,,,,GRUPO 3
,"LATA FELINE KITTEN 156G
",HILLATAFELKITTE,HILLS,Unidades,Si,52742660004,"LATA FELINE KITTEN 156G
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121802,H87,0,,,0,,,73.2759,Unidades,69.664,,,16,16,,,,,,GRUPO 3
,"FELINE MATURE ADULT 7+ 1.8 KG
",HILFELMAT7+18,HILLS,Unidades,Si,52742710402,"FELINE MATURE ADULT 7+ 1.8 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,551.7241,Unidades,413.792,,,16,16,,,,,,GRUPO 3
,FELINE ADULTO ORIGINAL 1.8 KG,HILFELOPTCAR18,HILLS,Unidades,Si,52742679709,FELINE ADULTO ORIGINAL 1.8 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121804,H87,0,,,0,,,534.4828,Unidades,426.2913,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,"FELINE R/D WEIGHT 3.85 KG 
",HILFELRD,HILLS,Unidades,Si,52742589800,"FELINE R/D WEIGHT 3.85 KG 
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1129.3103,Unidades,773.79,,,16,16,,,,,,GRUPO 3
,"FELINE Z/D HYDROLYZED 1.8 KG
",HILFELZD18,HILLS,Unidades,Si,52742790503,"FELINE Z/D HYDROLYZED 1.8 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,732.7586,Unidades,720.264296,,,16,16,,,,,,GRUPO 3
,"LATA CANINE I/D LOW FAT 370G
",HILLATAIDLOW370,HILLS,Unidades,Si,52742186306,"LATA CANINE I/D LOW FAT 370G
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,94.827586,Unidades,82.748412,,,16,16,,,,,,GRUPO 3
,LATA CANINE K/D RENAL ESTOFADO,HILLATAKDVEGE,HILLS,Unidades,Si,52742339504,LATA CANINE K/D RENAL ESTOFADO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121802,H87,0,,,0,,,94.8276,Unidades,78.48233,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,FELINE C/D URINARY  1.8KG,HILLFELCD18,HILLS,Unidades,Si,52742624709,FELINE C/D URINARY  1.8KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,612.069,Unidades,494.219225,,,16,16,,,,,,GRUPO 3
,CANINE I/D GASTROINTESTINAL 3.9 KG,HILLCANID39,HILLS,Unidades,Si,52742861807,CANINE I/D GASTROINTESTINAL 3.9 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,905.1724,Unidades,800.645763,,,16,16,,,,,,GRUPO 3
,FELINE HAIRBALL ADULT CONTROL 3.5 LB,HILLFELHAIR3.5LB,HILLS,Unidades,Si,,FELINE HAIRBALL ADULT CONTROL 3.5 LB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,399.795714,,,16,16,,,,,,GRUPO 3
,FELINE K/D 1.8 KILOS,HILLFELKD186,HILLS,Unidades,Si,52742725208,FELINE K/D 1.8 KILOS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121804,H87,0,,,0,,,612.069,Unidades,530.209313,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,FELINE ADULTO HAIRBALL CONTROL 3.2 KG,HILLHAIR03.2,HILLS,Unidades,Si,52742888101,FELINE ADULTO HAIRBALL CONTROL 3.2 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,965.5172,Unidades,490.5,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,CANINE METABOLIC + MOBILITY 10.8 KG,HILLMETAB10.8,HILLS,Unidades,Si,,CANINE METABOLIC + MOBILITY 10.8 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2456.8966,Unidades,1457.25,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,CANINE LATA  Z/D HYDROLIZED,HILLATAZD,HILLS,Unidades,Si,,CANINE LATA  Z/D HYDROLIZED,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,94.8276,Unidades,50.95,,,16,16,,,,,,GRUPO 3
,"LATA CANINE METABOLIC 13 OZ
",HILLATAMETAB,HILLS,Unidades,Si,52742195704,"LATA CANINE METABOLIC 13 OZ
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,94.827586,Unidades,94.83,,,16,16,,,,,,GRUPO 3
,CANINE METABOLIC + MOBILITY 4.31 KG,HILMETMOB4,HILLS,Unidades,Si,52742022536,CANINE METABOLIC + MOBILITY 4.31 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,1034.4828,Unidades,1034.48,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,"CANINE HYPOALLERGENIC TREATS
",HILTREATS,HILLS,Unidades,Si,52742014555,"CANINE HYPOALLERGENIC TREATS
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,237.069,Unidades,205.737785,,,16,16,,,,,,GRUPO 3
,FRUIT SNACKS ARANDANOS Y AVENA 0.2 KG,HILFRUITARA1,HILLS,Unidades,Si,52742008974,FRUIT SNACKS ARANDANOS Y AVENA 0.2 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,150.8621,Unidades,110.372167,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,FRUIT SNACKS MANZANA Y AVENA 0.2 KG,HILFRUITMZ5,HILLS,Unidades,Si,52742008998,FRUIT SNACKS MANZANA Y AVENA 0.2 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,150.8621,Unidades,143.268531,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,JERKY SNACK CHICKEN 0.2 KG,HILJERSNAC9,HILLS,Unidades,Si,52742187501,JERKY SNACK CHICKEN 0.2 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,150.8621,Unidades,134.509242,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,SOFT&CHEWY TRANNING CHICKEN 0.1 KG,HILSOFTRET,HILLS,Unidades,Si,52742187907,SOFT&CHEWY TRANNING CHICKEN 0.1 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,94.8276,Unidades,53.01915,,,16,16,,HILLS,,,ALIMENTOS,GRUPO 3
,ABSORBINE LINIMENTO 473ML,HOLABSORLINI473,HOLL,Unidades,Si,,ABSORBINE LINIMENT 473ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,394,Unidades,205.4,,,0,0,,HOLLAND,"Mentol, aceite de ajenjo, cloroxilenol, timol, yodo elemental.",,MEDICAMENTOS,GRUPO 3
,"ALLER-SEK SHAMPOO 250 ML
",HOLALLER,HOLL,Unidades,Si,7502276570988,"ALLER-SEK SHAMPOO 250 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,323,Unidades,157.5025,,,0,0,,HOLLAND,"Polisacáridos, lipoaminoácidos y Surfactantes funcionales",Q-4196-234,MEDICAMENTOS,GRUPO 3
,BACTODERM SHAMPOO,HOLBACTOS,HOLL,Unidades,Si,7503002113417,BACTODERM SHAMPOO 350 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,282,Unidades,115.792009,,,0,0,,HOLLAND,"Peróxido de Benzoilo 3g, complejo humectante.",Q-4196-070,MEDICAMENTOS,GRUPO 3
,CANOPLEX AGS,HOLCANOAGS,HOLL,Unidades,Si,7502276570926,CANOPLEX AGS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,374,Unidades,149.553904,,,0,0,,HOLLAND,"Aminoácidos, vitamina C, Ácidos grasos omega 6 y3",,MEDICAMENTOS,GRUPO 3
,CANOPLEX CALCIO AD3,HOLCANOCALAD3,HOLL,Unidades,Si,7502276571121,CANOPLEX CALCIO AD3,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,244,Unidades,104.292397,,,0,0,,HOLLAND,"Calcio 500 mg, fósforo 250 mg con vitaminas",,MEDICAMENTOS,GRUPO 3
,CANOPLEX JR,HOLCANOJR,HOLL,Unidades,Si,7502276571114,CANOPLEX JR,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,317,Unidades,134.406729,,,0,0,,HOLLAND,"Calostro bovino, ácidos grasos omega 3 (DHA y EPA), prebióticos",,MEDICAMENTOS,GRUPO 3
,CARTIPLEX 30 TAB,HOLCARTI30TAB,HOLL,Unidades,Si,7502276570919,CARTIPLEX 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,493,Unidades,200.723462,,,0,0,,HOLLAND,"Condroprotector y Clorhidrato de glucosamina, sulfato de condroitina, metil sulfonil metano",Q-4196-267,MEDICAMENTOS,GRUPO 3
,CLOREXIDERM MAX SHAMPOO,HOLCLORES,HOLL,Unidades,Si,7502276571176,CLOREXIDERM MAX SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,366,Unidades,137.464485,,,0,0,,HOLLAND,Gluconato de clorhexidina 3g,Q-4196-269,MEDICAMENTOS,GRUPO 3
,CLOREXIDERM MAX SPRAY,HOLCLORESPRAY,HOLL,Unidades,Si,7502276570667,CLOREXIDERM MAX SPRAY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,337,Unidades,136.891337,,,0,0,,HOLLAND,"Gluconato de clorhexidina 3 g,  humectantes, surfactantes y conservadores cbp 100 mL.",Q-4196-272,MEDICAMENTOS,GRUPO 3
,CONDROPRODYL 100 MG,HOLCOND100,HOLL,Unidades,Si,7502276570049,CONDROPRODYL 100 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,617,Paquete de 20,186.639023,,,0,0,,HOLLAND,Carprofeno,Q-4196-158.,MEDICAMENTOS,GRUPO 2
,CONDROPRODYL 25 MG,HOLCOND25,HOLL,Unidades,Si,7502302113615,CONDROPRODYL 25 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,327,Paquete de 20,98.901192,,,0,0,,HOLLAND,Carprofeno,Q-4196-155.,MEDICAMENTOS,GRUPO 2
,CONDROPRODYL 75 MG,HOLCOND75,HOLL,Unidades,Si,7502276570032,CONDROPRODYL 75 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,454,Paquete de 20,139.375557,,,0,0,,HOLLAND,Carprofeno, Q-4196-157.,MEDICAMENTOS,GRUPO 2
,CORONAMUNE-P (12 DOSIS),HOLCORO-P,HOLL,Unidades,Si,,CORONAMUNE-P (12 DOSIS),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51201600,H87,0,,,0,,,1412,Unidades,0,,,0,0,,HOLLAND,,,MEDICAMENTOS,GRUPO 2
,DERMOPLEX 30 TAB,HOLDERMO,HOLL,Unidades,Si,7502276570933,RX DERMOPLEX AGES 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,352,Unidades,140.763966,,,0,0,,HOLLAND,"Ácidos grasos omega 3 (EPA y DHA), zinc, vitamina E 40 UI, biotina",Q-4196-241,MEDICAMENTOS,GRUPO 3
,DERMOPLEX CREMA,HOLDERMOC,HOLL,Unidades,Si,7503002113776,DERMOPLEX CREMA,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,299,Unidades,112.317959,,,0,0,,HOLLAND,"Neomicina sulfato, Bacitracina de zinc 50,000 UI, Dexametasona acetato, Benzocaína.",Q-4196-202,MEDICAMENTOS,GRUPO 3
,EAR CLEAN,HOLEARCLEAN,HOLL,Unidades,Si,7503002113530,EAR CLEAN,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,178,Unidades,67.013121,,,0,0,,HOLLAND,"Ácido salicílico, ácido bórico, aceite de eucalipto.",Q-4196-052,MEDICAMENTOS,GRUPO 3
,"FELVITAL L-CARNITINA 80 ML SUSPENSION
",HOLFELLCARD80,HOLL,Unidades,Si,7502276571282,"FELVITAL L-CARNITINA 80 ML SUSPENSION
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,225,Unidades,106.366364,,,0,0,,HOLLAND,L-Carnitina,Q-4196-278,MEDICAMENTOS,GRUPO 3
,"FELVITAL TAURINA 80 ML SUSPENSION
",HOLFELTAUR80,HOLL,Unidades,Si,7502276571268,"FELVITAL TAURINA 80 ML SUSPENSION
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,225,Unidades,106.366364,,,0,0,,HOLLAND,Felvital Taurina,Q-4196-279,MEDICAMENTOS,GRUPO 3
,FELVITAL TRI-DEFENSE 30 ML,HOLFELTRIDEF,HOLL,Unidades,Si,,FELVITAL TRI-DEFENSE 30 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,281,Unidades,,,,0,0,,HOLLAND,"TOLTRAZURIL,PAMOATO DE PIRANTEL Y FEBANTEL.",Q-4196-290,MEDICAMENTOS,GRUPO 3
,"FELVITAL UT 100ML SUSPENSION
",HOLFELUT100,HOLL,Unidades,Si,7502276571275,"FELVITAL UT 100ML SUSPENSION
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,245,Unidades,115.820909,,,0,0,,HOLLAND,NAG y L-triptófano,Q-4196-280,MEDICAMENTOS,GRUPO 3
,FLAGYPLEX SUSPENSION,HOLFLAGSUSP,HOLL,Unidades,Si,7502276570445,FLAGYPLEX SUSPENSION,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,149,Unidades,65.353333,,,0,0,,HOLLAND,Metronidazol benzoilo, Q-4196-212,MEDICAMENTOS,GRUPO 2
,FOLIPLEX SHAMPOO,HOLFOLISHA,HOLL,Unidades,Si,7502276570896,FOLIPLEX SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,366,Unidades,166.745625,,,0,0,,HOLLAND,"Trichogen, Aceite de árbol del té, Alfabisa- bolol",Q-4196-224,MEDICAMENTOS,GRUPO 3
,GASTROPLEX,HOLGASTROPLEX,HOLL,Unidades,Si,7503002113783,GASTROPLEX,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121601,H87,0,,,0,,,85,Paquete de 30,35.457727,,,0,0,,HOLLAND,Omeprazol,Q-4196-276,MEDICAMENTOS,GRUPO 3
,GERIAPLEX,HOLGERIA,HOLL,Unidades,Si,7503002113257,GERIAPLEX,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,374,Unidades,147.009333,,,0,0,,HOLLAND,"Ginkgo biloba, metil sulfonil metano, ácidos grasos omega 3 (EPA y DHA), ácidos grasos omega 6 (ácido linoleico).",,MEDICAMENTOS,GRUPO 3
,HIDRODERMAL JABON,HOLHIDROHJ,HOLL,Unidades,Si,,HIDRODERMAL JABON,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,106,Unidades,0,,,0,0,,HOLLAND,,,MEDICAMENTOS,GRUPO 3
,LASSY D-LIMONE SHAMPOO,HOLLASDL,HOLL,Unidades,Si,7502276570575,LASSY D-LIMONE SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111302,H87,0,,,0,,,118,Unidades,80.667532,,,0,0,,HOLLAND,,,MEDICAMENTOS,GRUPO 3
,LASSY INSECTICIDA JABON*,HOLLASINSECJABON,HOLL,Unidades,Si,,LASSY INSECTICIDA JABON*,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10191509,H87,0,,,0,,,80.1887,Unidades,0,,,0,0,,HOLLAND,Piretrina Y butóxido de piperonilo.,RSCO-PEC-INA-101I-308-323-0.025,MEDICAMENTOS,GRUPO 3
,LASSY INSECTICIDA SHAMPOO*,HOLLASINSECSH,HOLL,Unidades,Si,7502276570759,LASSY INSECTICIDA SHAMPOO*,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10191509,H87,0,,,0,,,183.9623,Unidades,73.319838,,,0,0,,HOLLAND,Deltametrina ,RSCO-PEC-INAC-119-I332-315-0.025,MEDICAMENTOS,GRUPO 3
,LASSY MEDICADO JABON,HOLLASMEDJAB,HOLL,Unidades,Si,,LASSY MEDICADO JABON,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,92,Unidades,0.01,,,0,0,,HOLLAND,"Azufre, undecilenato de zinc y grasa saponificada.",Q-4196-222,MEDICAMENTOS,GRUPO 3
,LASSY MEDICADO SHAMPOO,HOLLASMEDSH,HOLL,Unidades,Si,7502276570599,LASSY MEDICADO SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,214,Unidades,82.875191,,,0,0,,HOLLAND,"Azufre, ácido salicílico, acondicionadores y aromatizantes",Q-4196-223,MEDICAMENTOS,GRUPO 3
,LASSY MULTIVITAMINICO,HOLLASMULITI,HOLL,Unidades,Si,7502276570582,LASSY MULTIVITAMINICO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,259,Unidades,99.097606,,,0,0,,HOLLAND,"Vitamina A, B1, B2, B6, B12, D3, E, biotina, colina, ácido fólico, niacina, ácido pantoténico.",,MEDICAMENTOS,GRUPO 3
,LASSY NEUTRO SHAMPOO,HOLLASNEUSHAM,HOLL,Unidades,Si,7502276570636,LASSY NEUTRO SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,173,Unidades,67.535707,,,0,0,,HOLLAND,Aloe vera, Q-4196-233,MEDICAMENTOS,GRUPO 3
,LASSY POLVO ANTIPULGAS 100 G*,HOLLASPOL,HOLL,Unidades,Si,7503002113073,LASSY POLVO ANTIPULGAS 100 G*,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10191509,H87,0,,,0,,,155.6604,Unidades,95.67,,,0,0,,HOLLAND,Tetraclorvinfos,RSCO-PEC-INAC-0101FI-313-001-003,MEDICAMENTOS,GRUPO 3
,MICOPLEX MAX SHAMPOO,HOLMICOMAXSJ,HOLL,Unidades,Si,7502276571152,MICOPLEX MAX SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,369,Unidades,144.349717,,,0,0,,HOLLAND,Clotrimazol y Gluconato de clorhexidina,Q-4196-270,MEDICAMENTOS,GRUPO 3
,MICOPLEX MAX SPRAY ,HOLMICOMAXSPRAY,HOLL,Unidades,Si,7502276571169,MICOPLEX MAX SPRAY ,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,337,Unidades,134.486664,,,0,0,,HOLLAND,Clotrimazol y Gluconato de clorhexidina,Q-4196-273,MEDICAMENTOS,GRUPO 3
,MICOPLEX PLUS SHAMPOO,HOLMICOPLUS,HOLL,Unidades,Si,7503002113271,MICOPLEX PLUS SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,309,Unidades,116.747275,,,0,0,,HOLLAND,Nitrato de miconazol y Gluconato de clorhexidina,Q-4196-177,MEDICAMENTOS,GRUPO 3
,NUTRIPLEX GEL,HOLNUTRIG,HOLL,Unidades,Si,7503002113721,NUTRIPLEX GEL,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51191905,H87,0,,,0,,,269,Unidades,105.739983,,,0,0,,HOLLAND,"Calcio, fósforo, potacio, sodio, cloruro, magnesio, hierro, manganeso, vitamina A, D, E, tiamina, riboflavina, ácido pantoténico, niacina, piridoxina, ácido fólico, cianocobalamina.",,MEDICAMENTOS,GRUPO 3
,"OATMEAL SHAMPOO
",HOLOATS,HOLL,Unidades,Si,7502276571046,"OATMEAL SHAMPOO 250 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,171,Unidades,77.328125,,,0,0,,HOLLAND,"Extracto líquido de avena sativa, D-pantenol, Alfa-bisabolol. ",,MEDICAMENTOS,GRUPO 3
,OMEGADERM SHAMPOO,HOLOMEGAS,HOLL,Unidades,Si,7503002113790,OMEGADERM SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,373,Unidades,151.153524,,,0,0,,HOLLAND,"Aceite de borraja, aceite de argán, D-pantenol.",Q-4196-256,MEDICAMENTOS,GRUPO 3
,OTIPLEX PLUS,HOLOTIP,HOLL,Unidades,Si,7503002113714,OTIPLEX PLUS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,218,Unidades,85.737165,,,0,0,,HOLLAND,"Enrofloxacina, Tiabendazol, Dexametasona y Sulfadiazina de plata.", Q-4196-174,MEDICAMENTOS,GRUPO 3
,"OTI-RESTORE
",HOLOTIRES,HOLL,Unidades,Si,7502276571060,"OTI-RESTORE 250 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,204,Unidades,0,,,0,0,,HOLLAND,Calendula officinalis y  althea officinalis,,MEDICAMENTOS,GRUPO 3
,PARVOMUNE (12 DOSIS),HOLPAR,HOLL,Unidades,Si,,PARVOMUNE (12 DOSIS),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51201600,H87,0,,,0,,,1311,Paquete de 12,0,,,0,0,,HOLLAND,Virus activo modificado de Parvovirus canino tipo 2 cepa Cornell,B-4196-002,MEDICAMENTOS,GRUPO 2
,PRAMOXINE MAX SHAMPOO,HOLPRAMOSMAX,HOLL,Unidades,Si,7502276571190,PRAMOXINE MAX SHAMPOO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,366,Unidades,151.369557,,,0,0,,HOLLAND,Pramoxina HCL,Q-4196-271,MEDICAMENTOS,GRUPO 3
,PRAMOXINE MAX SPRAY,HOLPRAMOSPRAY,HOLL,Unidades,Si,7502276570681,PRAMOXINE MAX SPRAY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121606,H87,0,,,0,,,337,Unidades,139.350517,,,0,0,,HOLLAND,Pramoxina HCL,Q-4196-274,MEDICAMENTOS,GRUPO 3
,"PREDNI CARE 20 TABS
",HOLPREDNI,HOLL,Unidades,Si,,"PREDNI CARE 20 TABS
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,266,Paquete de 20,0,,,0,0,,HOLLAND,Prednisolona ,Q-4196-265,MEDICAMENTOS,GRUPO 3
,RELAXICAM 1.0 MG,HOLRELAX1.0,HOLL,Unidades,Si,7503002113981,RELAXICAM 1.0 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,283,Paquete de 30,90.323709,,,0,0,,HOLLAND,Meloxicam ,Q-4196-161,MEDICAMENTOS,GRUPO 2
,RELAXICAM 2.5 MG,HOLRELAX2.5,HOLL,Unidades,Si,7503002113998,RELAXICAM 2.5 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,461,Paquete de 30,154.945674,,,0,0,,HOLLAND,Meloxicam , Q-4196-162,MEDICAMENTOS,GRUPO 2
,RELAXICAM 4.0 MG,HOLRELAX4.0,HOLL,Unidades,Si,7502276570018,RELAXICAM 4.0 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142700,H87,0,,,0,,,551,Paquete de 30,181.647808,,,0,0,,HOLLAND,Meloxicam ,Q-4196-163,MEDICAMENTOS,GRUPO 2
,"RIFAXIMINA SUSPENSION
",HOLRIFAX,HOLL,Unidades,Si,,"RIFAXIMINA SUSPENSION 60 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121601,H87,0,,,0,,,374,Unidades,0,,,0,0,,HOLLAND,Rifaximina,Q-4196-266,MEDICAMENTOS,GRUPO 2
,"SKIN-RESTORE 120 ML
",HOLSKINRES,HOLL,Unidades,Si,7502276571138,"SKIN-RESTORE 120 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,201,Unidades,0,,,0,0,,HOLLAND,"Ácido hipocloroso, cloruro de sodio.",,MEDICAMENTOS,GRUPO 3
,SPECTRUM AMOXICILINA 250 MG,HOLAMO250,HOLL,Unidades,Si,7502276570995,SPECTRUM AMOXICILINA 250 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,408,Paquete de 20,156.481844,,,0,0,,HOLLAND,"AMOXICILINA, ACIDO CLAVULANICO",Q-4196-145,MEDICAMENTOS,GRUPO 2
,SPECTRUM AMOXICILINA 50 MG,HOLAMO50,HOLL,Unidades,Si,7502276571015,SPECTRUM AMOXICILINA 50 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,204,Paquete de 20,76.707307,,,0,0,,HOLLAND,"AMOXICILINA, ACIDO CLAVULANICO",Q-4196-144,MEDICAMENTOS,GRUPO 2
