Tipo de sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta ( en Caja de mostrador)?,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Costo promedio de compra en la moneda principal,Si tienen varios almacenes en la empresa: ¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave de producto SAT,Claves de Unidad SAT,Días de garantía,% Comisión para vendedor,% Comisión para referidos,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuántos puntos cuesta la compra de este producto/ servicio?,Unidad de COMPRA,TIPO DE CONTROL ,Nombre del laboratorio,Nombre de la sustancia activa,TASA IVA,TASA IEPS,NUMERO DE REGISTRO DE SENASICA,PRESENTACION,Factor entre unidades ,DEPARTAMENTO  ,unid conca
,"INSTINCT POLLO 4 LB PERRO
",INSTPOLL4LB,INST,599.1379,Unidades,SI ,769949658085,"INSTINCT POLLO 4 LB PERRO
",0,0,0,lo compramos,337.086207,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"INSTINCT POLLO 5 LB GATO
",INSTPOLLO CAT5,INST,719.8276,Unidades,SI ,,"INSTINCT POLLO 5 LB GATO
",0,0,0,lo compramos,253.448276,,Sí,si,30,15,0,Almacenable,0,,,10121800,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"INSTINCT BE NATURAL PUPPY 4.5LB DOG
",INSTPUPPY4.5,INST,500,Unidades,SI ,769949652922,"INSTINCT BE NATURAL PUPPY 4.5LB DOG
",0,0,0,lo compramos,299.075724,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"INSTINCT RES 20 LB
",INSTRES20,INST,2155.1724,Unidades,SI ,,"INSTINCT RES 20 LB
",0,0,0,lo compramos,1520.689655,,Sí,si,30,15,0,Almacenable,0,,,10121800,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"INSTINCT BE NATURAL SALMON 4.5LB DOG
",INSTSALM4.5,INST,530.1724,Unidades,SI ,769949652892,"INSTINCT BE NATURAL SALMON 4.5LB DOG
",0,0,0,lo compramos,299.073607,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"INSTINCT SALMON 4.5 LB GATO
",INSTSALMCAT4.5,INST,732.7586,Unidades,SI ,,"INSTINCT SALMON 4.5 LB GATO
",0,0,0,lo compramos,506.896551,,Sí,si,30,15,0,Almacenable,0,,,10121800,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,ASA FECAL CHICAS,ASAFECCH,INSVE,51.724138,Unidades,SI ,,ASA FECAL CHICAS,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,ASA FECAL GRANDE,ASAFECG,INSVE,51.724138,Unidades,SI ,,ASA FECAL GRANDE,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,DISPENSADOR MEDICAMENTO GDE (PASTILLERO),DISMEDG,INSVE,64.655172,Unidades,SI ,,DISPENSADOR MEDICAMENTO GDE (PASTILLERO),0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,DISPENSADOR MEDICAMENTO M (PASTILLERO),DISMEDM,INSVE,51.724138,Unidades,SI ,,DISPENSADOR MEDICAMENTO M (PASTILLERO),0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,DISPENSADOR MEDICAMENTOS CH (PASTILLERO),DISPMED,INSVE,51.724138,Unidades,SI ,,DISPENSADOR MEDICAMENTOS CH (PASTILLERO),0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,KIT EXAMEN COPROPARASITOSCÓPICO,KITCOPRO,INSVE,431.034483,Unidades,SI ,,KIT EXAMEN COPROPARASITOSCÓPICO,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,42143902,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,ODOR LOCK 12 KG,INTODLO12,INTER,507.7586,Unidades,SI ,777979211255,ODOR LOCK 12 KG,0,0,0,lo compramos,280.525911,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,INTERSAND,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,ODOR LOCK 6 KG,INTODLO6,INTER,325,Unidades,SI ,777979211064,ODOR LOCK 6 KG,0,0,0,lo compramos,183.178889,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,INTERSAND,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,"ODOR LOCK TALCO DE BEBE 12KG
",INTODLOBB12,INTER,507.7586,Unidades,SI ,777979210258,"ODOR LOCK TALCO DE BEBE 12KG
",0,0,0,lo compramos,293.67,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ODOR LOCK TALCO DE BEBE 6KG
",INTODLOBB6,INTER,325,Unidades,SI ,777979210067,"ODOR LOCK TALCO DE BEBE 6KG
",0,0,0,lo compramos,185.9,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ODOR LOCK BRISA CALMANTE 6KG
",INTODLOBRI6,INTER,325,Unidades,SI ,777979214065,"ODOR LOCK BRISA CALMANTE 6KG
",0,0,0,lo compramos,185.9,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ODOR LOCK LAVANDA 12KG
",INTODLOLAV12,INTER,507.7586,Unidades,SI ,777979213259,"ODOR LOCK LAVANDA 12KG
",0,0,0,lo compramos,296.54,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ODOR LOCK LAVANDA 6KG
",INTODLOLAV6,INTER,325,Unidades,SI ,777979213068,"ODOR LOCK LAVANDA 6KG
",0,0,0,lo compramos,148.723,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,ODOR LOCK MONITOREO DE SALUD SIN AROMA 1,INTODOLOSAL,INTER,593.9655,Unidades,SI ,777979566126,ODOR LOCK MONITOREO DE SALUD SIN AROMA 1,0,0,0,lo compramos,366.27,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,BLORECEP 100 ML BOLSA PARA TRANSFUSION,IPMBLORE100,IPM,289.655172,Unidades,SI ,,BLORECEP 100 ML BOLSA PARA TRANSFUSION,0,0,0,lo compramos,81.161164,,Sí,si,30,15,0,Almacenable,0,,,41104109,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,BLORECEP 250 ML BOLSA PARA TRANSFUSION,IPMBLORE250,IPM,296.551724,Unidades,SI ,,BLORECEP 250 ML BOLSA PARA TRANSFUSION,0,0,0,lo compramos,96.2,,Sí,si,30,15,0,Almacenable,0,,,41104109,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,BLORECEP 50 ML BOLSA PARA TRANSFUSION,IPMBLORE50,IPM,289.655172,Unidades,SI ,,BLORECEP 50 ML BOLSA PARA TRANSFUSION,0,0,0,lo compramos,66.749799,,Sí,si,30,15,0,Almacenable,0,,,41104109,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,BLORECEP 500 ML BOLSA PARA TRANSFUSION,IPMBLORE500,IPM,308.62069,Unidades,SI ,,BLORECEP 500 ML BOLSA PARA TRANSFUSION,0,0,0,lo compramos,97.616235,,Sí,si,30,15,0,Almacenable,0,,,41104109,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,BLOTEN EQUIPO CON FILTRO SIN AGUJA,IPMBLOTEN,IPM,32.3276,Unidades,SI ,,BLOTEN EQUIPO CON FILTRO SIN AGUJA,0,0,0,lo compramos,14.3,,Sí,si,30,15,0,Almacenable,0,,,42221600,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,CONECTOR ACOPLADOR C/SITO INY,IPMCAC,IPM,11.6379,Unidades,SI ,,CONECTOR ACOPLADOR C/SITO INY,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,42121506,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,CONECTOR LUER LOOK  (TAPON P/CATETER),IPMTAPCAT,IPM,11.6379,Unidades,SI ,2082,CONECTOR LUER LOOK  (TAPON P/CATETER),0,0,0,lo compramos,4.55814,,Sí,si,30,15,0,Almacenable,0,,,42121506,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,LLAVE DE 3 VIAS CON TUBO EXTENSOR,IPM3VIAS,IPM,43.103448,Unidades,SI ,,LLAVE DE 3 VIAS CON TUBO EXTENSOR,0,0,0,lo compramos,10.7,,Sí,si,30,15,0,Almacenable,0,,,42221603,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,LLAVE DE 3 VIAS SIN TUBO EXTENSOR,IPM3VS/M,IPM,34.482759,Unidades,SI ,,LLAVE DE 3 VIAS SIN TUBO EXTENSOR,0,0,0,lo compramos,6.90625,,Sí,si,30,15,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,LLAVE DE 4 VIAS CON TUBO EXTENSOR,IPM4VIAS,IPM,20.689655,Unidades,SI ,,LLAVE DE 4 VIAS CON TUBO EXTENSOR,0,0,0,lo compramos,9.926829,,Sí,si,30,15,0,Almacenable,0,,,42221603,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,LLAVE DE 4 VIAS SIN TUBO EXTENSOR,IPM4VS/M,IPM,34.482759,Unidades,SI ,,LLAVE DE 4 VIAS SIN TUBO EXTENSOR,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,MEDISET 100 (EQ P/APLIC DE VOL MEDIDOS),IPMMS100,IPM,45.2586,Unidades,SI ,,MEDISET 100 (EQ P/APLIC DE VOL MEDIDOS),0,0,0,lo compramos,28.185399,,Sí,si,30,15,0,Almacenable,0,,,42221603,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SOLUTEN MICROGOTERO SIN AGUJA,IPMMICRO,IPM,44.827586,Unidades,SI ,,SOLUTEN MICROGOTERO SIN AGUJA,0,0,0,lo compramos,13.317767,,Sí,si,30,15,0,Almacenable,0,,,42221603,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SOLUTEN NORMOGOTERO SIN AGUJA,IPMNORMO,IPM,41.37931,Unidades,SI ,,SOLUTEN NORMOGOTERO SIN AGUJA,0,0,0,lo compramos,12.377493,,Sí,si,30,15,0,Almacenable,0,,,42221603,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 12 FR (3000),IMPSON12FR,IPM,34.482759,Unidades,SI ,3000,SONDA ALIMENTACION 12 FR (3000),0,0,0,lo compramos,6.295122,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 14 FR (3001),IMPSON14FR,IPM,36.206897,Unidades,SI ,3001,SONDA ALIMENTACION 14 FR (3001),0,0,0,lo compramos,6.605,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 16 FR (3002),IMPSON16FR,IPM,39.655172,Unidades,SI ,3002,SONDA ALIMENTACION 16 FR (3002),0,0,0,lo compramos,6.694545,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 18 FR (3003),IPMSON18FR,IPM,41.37931,Unidades,SI ,3003,SONDA ALIMENTACION 18 FR (3003),0,0,0,lo compramos,5.983704,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 5 FR 38.5  (3009),IPMSON5FR38,IPM,20.689655,Unidades,SI ,3009,SONDA ALIMENTACION 5 FR 38.5  (3009),0,0,0,lo compramos,3.927273,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 5 FR 90 CM (3016),IMPSON5FR90,IPM,31.034483,Unidades,SI ,3016,SONDA ALIMENTACION 5 FR 90 CM (3016),0,0,0,lo compramos,4.9,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 8 FR 38.5 CM (3004),IMPSON8FR38,IPM,18.965517,Unidades,SI ,3004,SONDA ALIMENTACION 8 FR 38.5 CM (3004),0,0,0,lo compramos,3.7625,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA ALIMENTACION 8 FR 90 CM (3010),IPMSON8FR90,IPM,31.034483,Unidades,SI ,3010,SONDA ALIMENTACION 8 FR 90 CM (3010),0,0,0,lo compramos,4.88558,,Sí,si,30,15,0,Almacenable,0,,,42231505,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA URETRAL P/ GATO 3.5 FR (9101),IPMSURGAT,IPM,100,Unidades,SI ,7501566191018,SONDA URETRAL P/ GATO 3.5 FR (9101),0,0,0,lo compramos,23.095238,,Sí,si,30,15,0,Almacenable,0,,,42142702,H87,0,,,,,Unidades,,,,16,,,,1,INSTRUMENTAL,Unidades 1.000_Unidades
,SONDA URETRAL P/PERRO 4FR LONG 40CM (9103),IPMSURPER4FR,IPM,131.034483,Unidades,SI ,,SONDA URETRAL P/PERRO 4FR LONG 40CM (9103),0,0,0,lo compramos,41.565789,,Sí,si,30,15,0,Almacenable,0,,,42142702,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,SONDA URETRAL P/PERRO 6FR LCNG 45CM (9104),IPMSURPER6FR,IPM,131.034483,Unidades,SI ,,SONDA URETRAL P/PERRO 6FR LCNG 45CM (9104),0,0,0,lo compramos,41.565789,,Sí,si,30,15,0,Almacenable,0,,,42142702,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,SONDA URETRAL P/PERRO 8FR LONG 50CM (9105),IPMSURPER8FR,IPM,131.034483,Unidades,SI ,,SONDA URETRAL P/PERRO 8FR LONG 50CM (9105),0,0,0,lo compramos,41.565789,,Sí,si,30,15,0,Almacenable,0,,,42142702,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,SONDA URETRAL P/PERRO 10FR 50 CN (9111),IPMSURPER10FR,IPM,131.034483,Unidades,SI ,,SONDA URETRAL P/PERRO 10FR 50 CN (9111),0,0,0,lo compramos,39,,Sí,si,30,15,0,Almacenable,0,,,42142702,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,ACEITE LAGRIMAL,JAUACEILAG,JAU,94.8276,Unidades,SI ,,ACEITE LAGRIMAL,0,0,0,lo compramos,30,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,ACEITE OTITIS,JAUACEOT0,JAU,94.8276,Unidades,SI ,,ACEITE OTITIS,0,0,0,lo compramos,30,,No,No,0,0,0,Almacenable,0,,,50151604,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,BOZALES GATO 3 PZAS,JAUBOZGAT,JAU,215.5172,Unidades,SI ,,BOZALES GATO 3 PZAS,0,0,0,lo compramos,92.5,,No,No,0,0,0,Almacenable,0,,,10141610,H87,0,,,,,PAQUETE,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,PAQUETE 1.000_Unidades
,BOZALES POLIPROPILENO PERRO  5 PZAS,JAUBOZPOLI,JAU,241.3793,Unidades,SI ,,BOZALES POLIPROPILENO PERRO  5 PZAS,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10141610,H87,0,,,,,PAQUETE,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,PAQUETE 1.000_Unidades
,BOZALES TELA PERRO 6 PZAS,JAUBOZTE,JAU,241.3793,Unidades,SI ,,BOZALES TELA PERRO 6 PZAS,0,0,0,lo compramos,146.666667,,No,No,0,0,0,Almacenable,0,,,10141610,H87,0,,,,,PAQUETE,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,PAQUETE 1.000_Unidades
,COLLAR ISABELINO # 1 LISO (7.5 CM),JAUISA1,JAU,73.2759,Unidades,SI ,,COLLAR ISABELINO # 1 LISO (7.5 CM),0,0,0,lo compramos,24.146275,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 1 DURO (7.5 CM),JAUISA1D,JAU,73.2759,Unidades,SI ,,COLLAR ISABELINO # 1 DURO (7.5 CM),0,0,0,lo compramos,22.5,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 1 TRANSPARENTE (7.5 C,JAUISA1T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 1 TRANSPARENTE (7.5 C,0,0,0,lo compramos,14.750075,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 2 LISO (10 CM),JAUISA2,JAU,77.5862,Unidades,SI ,,COLLAR ISABELINO # 2 LISO (10 CM),0,0,0,lo compramos,24.064244,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 2 DURO (10 CM),JAUISA2D,JAU,77.5862,Unidades,SI ,,COLLAR ISABELINO # 2 DURO (10 CM),0,0,0,lo compramos,46.619048,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 2 TRANSPARENTE (10 CM,JAUISA2T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 2 TRANSPARENTE (10 CM,0,0,0,lo compramos,23.60012,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 3 LISO (12.5 CM),JAUISA3,JAU,86.2069,Unidades,SI ,,COLLAR ISABELINO # 3 LISO (12.5 CM),0,0,0,lo compramos,29.090948,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 3 DURO (12.5 CM),JAUISA3D,JAU,86.2069,Unidades,SI ,,COLLAR ISABELINO # 3 DURO (12.5 CM),0,0,0,lo compramos,50,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 3 TRANSPARENTE (12.5,JAUISA3T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 3 TRANSPARENTE (12.5,0,0,0,lo compramos,30.483489,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 4 LISO (15 CM),JAUISA4,JAU,103.4483,Unidades,SI ,,COLLAR ISABELINO # 4 LISO (15 CM),0,0,0,lo compramos,37.584466,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 4 DURO (15 CM),JAUISA4D,JAU,103.4483,Unidades,SI ,,COLLAR ISABELINO # 4 DURO (15 CM),0,0,0,lo compramos,52.5,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 4 TRANSPARENTE (15 CM,JAUISA4T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 4 TRANSPARENTE (15 CM,0,0,0,lo compramos,36.383519,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 5 LISO (20 CM),JAUISA5,JAU,163.7931,Unidades,SI ,,COLLAR ISABELINO # 5 LISO (20 CM),0,0,0,lo compramos,57.517608,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 5 DURO (20 CM),JAUISA5D,JAU,163.7931,Unidades,SI ,,COLLAR ISABELINO # 5 DURO (20 CM),0,0,0,lo compramos,60,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 5 TRANSPARENTE (20 CM,JAUISA5T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 5 TRANSPARENTE (20 CM,0,0,0,lo compramos,46.216902,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 6 LISO (25 CM),JAUISA6,JAU,215.5172,Unidades,SI ,,COLLAR ISABELINO # 6 LISO (25 CM),0,0,0,lo compramos,80.360345,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 6 DURO (25 CM),JAUISA6D,JAU,215.5172,Unidades,SI ,,COLLAR ISABELINO # 6 DURO (25 CM),0,0,0,lo compramos,65,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 6 TRANSPARENTE (25 CM,JAUISA6T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 6 TRANSPARENTE (25 CM,0,0,0,lo compramos,66.867008,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ISABELINO # 7 LISO (30 CM),JAUISA7,JAU,232.7586,Unidades,SI ,,COLLAR ISABELINO # 7 LISO (30 CM),0,0,0,lo compramos,84.667299,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 7 DURO (30 CM),JAUISA7D,JAU,232.7586,Unidades,SI ,,COLLAR ISABELINO # 7 DURO (30 CM),0,0,0,lo compramos,67,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ISABELINO # 7 TRANSPARENTE (30 CM,JAUISA7T,JAU,0,Unidades,SI ,,COLLAR ISABELINO # 7 TRANSPARENTE (30 CM,0,0,0,lo compramos,59.65586,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"JAURIA QUICK STOP 20gr
",JAUQUIC40,JAU,0,Unidades,SI ,,"JAURIA QUICK STOP 20gr
",0,0,0,lo compramos,63.986395,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,"JAURIA QUICK STOP 40gr
",JAUQUIC40,JAU,0,Unidades,SI ,,"JAURIA QUICK STOP 40gr
",0,0,0,lo compramos,63.986395,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,GRUPO 3,,,16,,,,1,,Unidades 1.000_Unidades
,TALCO OTICO,JAUTALOTI,JAU,94.8276,Unidades,SI ,,TALCO OTICO,0,0,0,lo compramos,31.919158,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,GRUPO 3,JAURIA,,16,,,,1,ESTETICA CANINA,Unidades 1.000_Unidades
,AZITROKIR M 100,KIROAZITRO100,KIRO,134,Unidades,SI ,7506345100007,AZITROKIR M 100,0,0,0,lo compramos,45.36,,Sí,si,30,15,0,Almacenable,0,,,51101572,H87,0,,,,,Unidades,GRUPO 2,,,0,,,,1,MEDICAMENTOS,Unidades 1.000_Unidades
,AZITROKIR M 200,KIROAZITRO200,KIRO,211,Unidades,SI ,7506345100014,AZITROKIR M 200,0,0,0,lo compramos,71.64,,Sí,si,30,15,0,Almacenable,0,,,51101572,H87,0,,,,,Unidades,GRUPO 2,,,0,,,,1,MEDICAMENTOS,Unidades 1.000_Unidades
,AZITROKIR M 400,KIROAZITRO400,KIRO,276,Unidades,SI ,7506345100021,AZITROKIR M 400,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,51101572,H87,0,,,,,Unidades,GRUPO 2,,,0,,,,1,MEDICAMENTOS,Unidades 1.000_Unidades
